id,restaurant_name,rating,number_of_ratings,delivery_fee,full_address,lat,lng,prague_municipal_district,url
0,restaurace-rebellion2,100.0,5,29 Kč (zdarma od 1 000 Kč),"Moskevská 23, Praha 10 10000",50.0692947,14.4538795,10,https://www.damejidlo.cz/restaurace-rebellion2
1,excellent-pizza,55.0,8,99 Kč,"Radlická 845/15, Praha 5 15000",50.0623959,14.4042988,5,https://www.damejidlo.cz/excellent-pizza
2,abiy-kebab-pizza,-1.0,0,0 Kč,"Štefánikova 5/59, Praha 5 15000",50.07807030000001,14.4038743,5,https://www.damejidlo.cz/abiy-kebab-pizza
3,al-capone,81.0,19,0 Kč,"Na Poříčí 36, Praha 1 11000",50.0900399,14.4352159,1,https://www.damejidlo.cz/al-capone
4,pizzerie-al-mulino,88.0,46,zdarma,"Národních hrdinů 3, Praha 9 19000",50.0882196,14.5818282,9,https://www.damejidlo.cz/pizzerie-al-mulino
5,al-tagliere,52.0,5,29 Kč (zdarma od 500 Kč),"Ječná 5, Praha 2 12000",50.07584689999999,14.4213067,2,https://www.damejidlo.cz/al-tagliere
6,alberto-ristorante-praha,66.0,6,49 Kč (zdarma od 1 000 Kč),"Radlická 41/953, Praha 5 15000",50.06154000000001,14.4011255,5,https://www.damejidlo.cz/alberto-ristorante-praha
7,alcohol24,-1.0,0,50 Kč,"Králodvorská 664/11, Praha 11000",50.0882295,14.4268916,11000,https://www.damejidlo.cz/alcohol24
8,amfora-pizza-mansfeldova,82.0,20,49 Kč,"Mansfeldova 805/12, Praha 9 19800",50.1071001,14.5792845,9,https://www.damejidlo.cz/amfora-pizza-mansfeldova
9,amitabha-vegan-restaurant,90.0,28,29 Kč (zdarma od 700 Kč),"Sokolovská 23, Praha 8 18600",50.0919228,14.4410373,8,https://www.damejidlo.cz/amitabha-vegan-restaurant
10,amore-more,-1.0,0,29 Kč (zdarma od 700 Kč),"Vršovická 1525/1A, Praha 10 10100",50.0671366,14.4441633,10,https://www.damejidlo.cz/amore-more
11,amuni,-1.0,0,49 Kč,"Heleny Malířové 272/17, Praha 6 16900",50.084744,14.3780232,6,https://www.damejidlo.cz/amuni
12,an-nam-restaurant,-1.0,0,29 Kč (zdarma od 700 Kč),"Balbínova 404/22, Praha 2 12000",50.0787498,14.435363,2,https://www.damejidlo.cz/an-nam-restaurant
13,ankara,-1.0,0,29 Kč (zdarma od 700 Kč),"Koněvova 140, Praha 3 13000",50.0910423,14.472743,3,https://www.damejidlo.cz/ankara
14,anmy-s-asian-restaurant,79.0,47,29 Kč (zdarma od 700 Kč),"Havlíčkovo nám. 670/7, Praha 13000",50.0848892,14.4548257,13000,https://www.damejidlo.cz/anmy-s-asian-restaurant
15,arslan,-1.0,0,zdarma,"Žitná 19, Praha 1 11000",50.0775498,14.4242495,1,https://www.damejidlo.cz/arslan
16,arslan-kebab-andel,92.0,21,zdarma,"Bozděchova 2246/3, Praha 5 15000",50.070255,14.4045564,5,https://www.damejidlo.cz/arslan-kebab-andel
17,asia-city,-1.0,0,49 Kč (zdarma od 700 Kč),"Švehlova 1391/32, Praha 10 - Hostivař 10200",50.0532812,14.5171881,10,https://www.damejidlo.cz/asia-city
18,asia-city-praha-2,36.0,5,29 Kč (zdarma od 500 Kč),"Slezská 16, Praha 2 12000",50.07609720000001,14.441066,2,https://www.damejidlo.cz/asia-city-praha-2
19,wok-express-praha10,-1.0,0,49 Kč,"Švehlova 1391, Praha 10 - Hostivař 10200",50.0532812,14.5171881,10,https://www.damejidlo.cz/wok-express-praha10
20,wok-express-praha-2,64.0,9,29 Kč (zdarma od 500 Kč),"Slezská 16, Praha 2 12000",50.07609720000001,14.441066,2,https://www.damejidlo.cz/wok-express-praha-2
